,0,1,2,3
202410010306,ワイド,1-2,1130,14
202410010306,ワイド,1-8,4020,32
202410010306,馬単,2→8,22850,54
202410010306,三連複,1-2-8,33500,70
202410010306,三連単,2→8→1,190910,395
202410010307,単勝,2,990,3
202410010307,複勝,2,170,2
202410010307,複勝,6,110,1
202410010307,複勝,4,390,6
202410010307,枠連,2-4,340,1
202410010307,馬連,2-6,540,1
202410010307,ワイド,2-6,270,1
202410010307,ワイド,2-4,1630,17
202410010307,ワイド,4-6,730,7
202410010307,馬単,2→6,1960,6
202410010307,三連複,2-4-6,3230,8
202410010307,三連単,2→6→4,24160,72
202410010308,単勝,5,890,6
202410010308,複勝,5,380,6
202410010308,複勝,13,230,5
202410010308,枠連,4-8,1070,4
202410010308,馬連,5-13,2450,11
202410010308,ワイド,5-13,1130,12
202410010308,ワイド,3-5,1130,13
202410010308,ワイド,3-13,700,8
202410010308,馬単,5→13,4460,18
202410010308,三連複,3-5-13,4490,14
202410010308,三連単,5→13→3,25350,72
202410010309,単勝,1,180,1
202410010309,複勝,3,150,3
202410010309,馬連,1-3,350,2
202410010309,ワイド,1-3,160,2
202410010309,ワイド,1-2,150,1
202410010309,ワイド,2-3,210,4
202410010309,馬単,1→3,470,1
202410010309,三連複,1-2-3,240,1
202410010309,三連単,1→3→2,1000,2
202410010310,単勝,6,270,1
202410010310,複勝,6,160,1
202410010310,複勝,12,410,7
202410010310,複勝,17,840,10
202410010310,枠連,3-6,2540,11
202410010310,馬連,6-12,2350,10
202410010310,ワイド,6-12,780,8
202410010310,ワイド,6-17,2620,27
202410010310,ワイド,12-17,7210,55
202410010310,馬単,6→12,3820,15
202410010310,三連複,6-12-17,33180,95
202410010310,三連単,6→12→17,107910,325
202410010311,単勝,13,320,1
202410010311,複勝,13,140,1
202410010311,枠連,7-8,1000,2
202410010311,馬連,10-13,1420,5
202410010311,ワイド,10-13,420,2
202410010311,ワイド,1-13,390,1
202410010311,ワイド,1-10,670,8
202410010311,馬単,13→10,2370,4
202410010311,三連複,1-10-13,2360,3
202410010311,三連単,13→10→1,11750,18
202410010312,単勝,7,380,1
202410010312,複勝,7,160,1
202410010312,複勝,17,220,4
202410010312,複勝,9,180,2
202410010312,枠連,4-8,980,1
202410010312,馬連,7-17,2400,6
202410010312,ワイド,7-17,920,6
202410010312,ワイド,7-9,460,1
202410010312,ワイド,9-17,960,9
202410010312,馬単,7→17,3960,8
202410010312,三連複,7-9-17,3900,2
202410010312,三連単,7→17→9,20210,17
202410010401,単勝,1,220,1
202410010401,複勝,8,180,4
202410010401,複勝,12,210,5
202410010401,枠連,1-4,810,4
202410010401,馬連,1-8,900,4
202410010401,ワイド,1-8,370,4
202410010401,ワイド,1-12,500,6
202410010401,ワイド,8-12,670,10
202410010401,馬単,1→8,1210,4
202410010401,三連複,1-8-12,2300,8
202410010401,三連単,1→8→12,6370,19
202410010402,単勝,3,190,1
202410010402,複勝,3,110,1
202410010402,複勝,7,150,2
202410010402,複勝,12,170,3
202410010402,枠連,3-5,480,1
202410010402,馬連,3-7,480,1
202410010402,ワイド,3-7,250,1
202410010402,ワイド,3-12,320,2
202410010402,ワイド,7-12,550,7
202410010402,馬単,3→7,670,1
202410010402,三連複,3-7-12,900,1
202410010402,三連単,3→7→12,2870,1
202410010403,単勝,11,760,4
202410010403,複勝,14,240,3
202410010403,複勝,5,920,11
202410010403,枠連,7-8,1420,6
202410010403,馬連,11-14,2780,9
202410010403,ワイド,11-14,1060,10
202410010403,ワイド,5-11,4880,49
202410010403,ワイド,5-14,3050,38
202410010403,馬単,11→14,6620,25
202410010403,三連複,5-11-14,34650,120
202410010403,三連単,11→14→5,192450,633
202410010404,単勝,7,630,5
202410010404,複勝,7,190,5
202410010404,複勝,4,180,4
202410010404,複勝,8,160,2
202410010404,枠連,4-6,640,2
202410010404,馬連,4-7,2210,10
202410010404,ワイド,4-7,730,10
202410010404,ワイド,7-8,500,7
202410010404,ワイド,4-8,470,5
202410010404,馬単,7→4,4810,21
202410010404,三連複,4-7-8,2050,7
202410010404,三連単,7→4→8,16960,58
202410010405,単勝,16,770,4
202410010405,複勝,16,210,4
202410010405,複勝,4,160,1
202410010405,複勝,6,170,2
202410010405,枠連,2-8,1510,6
202410010405,馬連,4-16,1460,3
202410010405,ワイド,4-16,560,3
202410010405,ワイド,6-16,680,5
202410010405,ワイド,4-6,540,1
202410010405,馬単,16→4,3830,12
202410010405,三連複,4-6-16,2710,2
202410010405,三連単,16→4→6,19000,28
202410010406,単勝,1,900,7
202410010406,複勝,1,280,6
202410010406,複勝,10,240,5
202410010406,枠連,1-3,2900,14
202410010406,馬連,1-3,3000,18
202410010406,ワイド,1-3,930,17
202410010406,ワイド,1-10,800,15
202410010406,ワイド,3-10,1040,19
202410010406,馬単,1→3,5800,36
202410010406,三連複,1-3-10,6090,27
202410010406,三連単,1→3→10,40230,183
202410010407,単勝,1,2080,8
202410010407,複勝,1,560,8
202410010407,複勝,6,560,9
202410010407,複勝,16,210,2
202410010407,枠連,1-3,10180,25
202410010407,馬連,1-6,19620,55
202410010407,ワイド,1-6,5810,55
202410010407,ワイド,1-16,1780,22
202410010407,ワイド,6-16,1490,15
202410010407,馬単,1→6,39710,111
202410010407,三連複,1-6-16,25840,88
202410010407,三連単,1→6→16,249740,770
202410010408,単勝,1,390,2
202410010408,複勝,1,200,2
202410010408,複勝,3,260,5
202410010408,複勝,5,200,3
