race_id,式別,馬番,配当,人気
202405010405,馬連,1-14,5160,16
202405010405,ワイド,1-14,1460,15
202405010405,ワイド,13-14,750,8
202405010405,ワイド,1-13,670,5
202405010405,馬単,14→1,14650,39
202405010405,三連複,1-13-14,6150,19
202405010405,三連単,14→1→13,64630,175
202405010406,単勝,3,160,1
202405010406,複勝,3,110,1
202405010406,複勝,14,120,2
202405010406,複勝,4,300,6
202405010406,枠連,2-8,250,1
202405010406,馬連,3-14,250,1
202405010406,ワイド,3-14,150,1
202405010406,ワイド,3-4,610,7
202405010406,ワイド,4-14,940,11
202405010406,馬単,3→14,390,1
202405010406,三連複,3-4-14,1440,4
202405010406,三連単,3→14→4,3570,10
202405010407,単勝,6,130,1
202405010407,複勝,6,110,1
202405010407,複勝,5,240,4
202405010407,馬連,5-6,500,2
202405010407,ワイド,5-6,170,2
202405010407,ワイド,1-6,110,1
202405010407,ワイド,1-5,230,5
202405010407,馬単,6→5,630,3
202405010407,三連複,1-5-6,260,1
202405010407,三連単,6→5→1,1100,3
202405010408,単勝,4,760,5
202405010408,複勝,4,180,5
202405010408,複勝,12,140,1
202405010408,複勝,11,150,2
202405010408,枠連,2-6,600,3
202405010408,馬連,4-12,1280,5
202405010408,ワイド,4-12,560,7
202405010408,ワイド,4-11,440,4
202405010408,ワイド,11-12,380,3
202405010408,馬単,4→12,3730,13
202405010408,三連複,4-11-12,1880,2
202405010408,三連単,4→12→11,15860,36
202405010409,単勝,3,320,2
202405010409,複勝,3,150,2
202405010409,複勝,5,150,3
202405010409,複勝,2,230,5
202405010409,枠連,3-5,750,3
202405010409,馬連,3-5,790,3
202405010409,ワイド,3-5,340,3
202405010409,ワイド,2-3,380,5
202405010409,ワイド,2-5,480,7
202405010409,馬単,3→5,1450,5
202405010409,三連複,2-3-5,1560,5
202405010409,三連単,3→5→2,6540,18
202405010410,単勝,5,150,1
202405010410,複勝,5,110,1
202405010410,複勝,14,250,5
202405010410,複勝,6,150,2
202405010410,枠連,3-7,750,4
202405010410,馬連,5-14,1290,5
202405010410,ワイド,5-14,420,5
202405010410,ワイド,5-6,210,1
202405010410,ワイド,6-14,860,9
202405010410,馬単,5→14,1570,6
202405010410,三連複,5-6-14,2020,5
202405010410,三連単,5→14→6,7780,15
202405010411,単勝,1,3380,7
202405010411,複勝,1,630,7
202405010411,複勝,5,300,4
202405010411,複勝,8,870,10
202405010411,枠連,1-3,1720,7
202405010411,馬連,1-5,11400,30
202405010411,ワイド,1-5,2550,27
202405010411,ワイド,1-8,7290,56
202405010411,ワイド,5-8,3800,36
202405010411,馬単,1→5,36140,75
202405010411,三連複,1-5-8,60250,143
202405010411,三連単,1→5→8,604680,983
202405010412,単勝,5,3360,10
202405010412,複勝,5,600,9
202405010412,複勝,14,150,1
202405010412,複勝,12,400,6
202405010412,枠連,3-7,1260,3
202405010412,馬連,5-14,4990,17
202405010412,ワイド,5-14,1630,18
202405010412,ワイド,5-12,5780,52
202405010412,ワイド,12-14,960,9
202405010412,馬単,5→14,15250,51
202405010412,三連複,5-12-14,23510,81
202405010412,三連単,5→14→12,202700,600
202405010501,単勝,4,380,2
202405010501,複勝,4,140,1
202405010501,複勝,15,140,2
202405010501,複勝,14,220,5
202405010501,枠連,2-8,350,1
202405010501,馬連,4-15,780,1
202405010501,ワイド,4-15,330,2
202405010501,ワイド,4-14,480,5
202405010501,ワイド,14-15,700,10
202405010501,馬単,4→15,1570,2
202405010501,三連複,4-14-15,2110,5
202405010501,三連単,4→15→14,11030,27
202405010502,単勝,9,10560,11
202405010502,複勝,9,1350,10
202405010502,複勝,5,330,5
202405010502,複勝,8,130,1
202405010502,枠連,3-5,1350,5
202405010502,馬連,5-9,45970,55
202405010502,ワイド,5-9,9630,59
202405010502,ワイド,8-9,3360,25
202405010502,ワイド,5-8,590,4
202405010502,馬単,9→5,124910,119
202405010502,三連複,5-8-9,30370,72
202405010502,三連単,9→5→8,377610,638
202405010503,単勝,2,1980,6
202405010503,複勝,2,480,6
202405010503,複勝,11,240,3
202405010503,複勝,14,1080,10
202405010503,枠連,1-6,1030,3
202405010503,馬連,2-11,3740,12
202405010503,ワイド,2-11,880,8
202405010503,ワイド,2-14,4880,43
202405010503,ワイド,11-14,2200,24
202405010503,馬単,2→11,9500,31
202405010503,三連複,2-11-14,33810,82
202405010503,三連単,2→11→14,205490,462
202405010504,単勝,3,270,1
202405010504,複勝,3,140,2
202405010504,複勝,6,160,3
202405010504,複勝,11,410,6
202405010504,枠連,3-5,230,1
202405010504,馬連,3-6,690,2
202405010504,ワイド,3-6,320,2
202405010504,ワイド,3-11,1560,17
202405010504,ワイド,6-11,1010,13
202405010504,馬単,3→6,1210,3
202405010504,三連複,3-6-11,5780,18
202405010504,三連単,3→6→11,17210,56
202405010505,単勝,1,410,2
202405010505,複勝,1,190,2
202405010505,複勝,11,540,6
