,race_type,course_len,ground_state,class,win_return
151,芝,2200,良,新馬,
152,芝,2200,稍重,新馬,
153,芝,2200,重,新馬,
154,芝,2200,不良,新馬,
155,芝,2200,全,1勝クラス,1756.0
156,芝,2200,良,1勝クラス,1756.0
157,芝,2200,稍重,1勝クラス,
158,芝,2200,重,1勝クラス,
159,芝,2200,不良,1勝クラス,
160,芝,2200,全,2勝クラス,350.0
161,芝,2200,良,2勝クラス,350.0
162,芝,2200,稍重,2勝クラス,
163,芝,2200,重,2勝クラス,
164,芝,2200,不良,2勝クラス,
165,芝,2200,全,3勝クラス,340.0
166,芝,2200,良,3勝クラス,340.0
167,芝,2200,稍重,3勝クラス,
168,芝,2200,重,3勝クラス,
169,芝,2200,不良,3勝クラス,
170,芝,2200,全,オープン,283.3
171,芝,2200,良,オープン,283.3
172,芝,2200,稍重,オープン,
173,芝,2200,重,オープン,
174,芝,2200,不良,オープン,
175,芝,2500,全,all,340.9
176,芝,2500,良,all,315.6
177,芝,2500,稍重,all,455.0
178,芝,2500,重,all,
179,芝,2500,不良,all,
180,芝,2500,全,未勝利,
181,芝,2500,良,未勝利,
182,芝,2500,稍重,未勝利,
183,芝,2500,重,未勝利,
184,芝,2500,不良,未勝利,
185,芝,2500,全,新馬,
186,芝,2500,良,新馬,
187,芝,2500,稍重,新馬,
188,芝,2500,重,新馬,
189,芝,2500,不良,新馬,
190,芝,2500,全,1勝クラス,515.0
191,芝,2500,良,1勝クラス,515.0
192,芝,2500,稍重,1勝クラス,
193,芝,2500,重,1勝クラス,
194,芝,2500,不良,1勝クラス,
195,芝,2500,全,2勝クラス,238.0
196,芝,2500,良,2勝クラス,238.0
197,芝,2500,稍重,2勝クラス,
198,芝,2500,重,2勝クラス,
199,芝,2500,不良,2勝クラス,
200,芝,2500,全,3勝クラス,205.0
201,芝,2500,良,3勝クラス,240.0
202,芝,2500,稍重,3勝クラス,170.0
203,芝,2500,重,3勝クラス,
204,芝,2500,不良,3勝クラス,
205,芝,2500,全,オープン,560.0
206,芝,2500,良,オープン,380.0
207,芝,2500,稍重,オープン,740.0
208,芝,2500,重,オープン,
209,芝,2500,不良,オープン,
210,芝,3600,全,all,440.0
211,芝,3600,良,all,440.0
212,芝,3600,稍重,all,
213,芝,3600,重,all,
214,芝,3600,不良,all,
215,芝,3600,全,未勝利,
216,芝,3600,良,未勝利,
217,芝,3600,稍重,未勝利,
218,芝,3600,重,未勝利,
219,芝,3600,不良,未勝利,
220,芝,3600,全,新馬,
221,芝,3600,良,新馬,
222,芝,3600,稍重,新馬,
223,芝,3600,重,新馬,
224,芝,3600,不良,新馬,
225,芝,3600,全,1勝クラス,
226,芝,3600,良,1勝クラス,
227,芝,3600,稍重,1勝クラス,
228,芝,3600,重,1勝クラス,
229,芝,3600,不良,1勝クラス,
230,芝,3600,全,2勝クラス,
231,芝,3600,良,2勝クラス,
232,芝,3600,稍重,2勝クラス,
233,芝,3600,重,2勝クラス,
234,芝,3600,不良,2勝クラス,
235,芝,3600,全,3勝クラス,
236,芝,3600,良,3勝クラス,
237,芝,3600,稍重,3勝クラス,
238,芝,3600,重,3勝クラス,
239,芝,3600,不良,3勝クラス,
240,芝,3600,全,オープン,440.0
241,芝,3600,良,オープン,440.0
242,芝,3600,稍重,オープン,
243,芝,3600,重,オープン,
244,芝,3600,不良,オープン,
245,ダート,1200,全,all,1388.0
246,ダート,1200,良,all,1510.4
247,ダート,1200,稍重,all,1558.7
248,ダート,1200,重,all,735.4
249,ダート,1200,不良,all,450.0
250,ダート,1200,全,未勝利,722.4
251,ダート,1200,良,未勝利,969.6
252,ダート,1200,稍重,未勝利,477.9
253,ダート,1200,重,未勝利,348.3
254,ダート,1200,不良,未勝利,303.3
255,ダート,1200,全,新馬,587.0
256,ダート,1200,良,新馬,796.0
257,ダート,1200,稍重,新馬,347.5
258,ダート,1200,重,新馬,500.0
259,ダート,1200,不良,新馬,
260,ダート,1200,全,1勝クラス,1672.8
261,ダート,1200,良,1勝クラス,2126.1
262,ダート,1200,稍重,1勝クラス,1278.8
263,ダート,1200,重,1勝クラス,900.0
264,ダート,1200,不良,1勝クラス,715.0
265,ダート,1200,全,2勝クラス,2606.2
266,ダート,1200,良,2勝クラス,850.8
267,ダート,1200,稍重,2勝クラス,14080.0
268,ダート,1200,重,2勝クラス,2970.0
269,ダート,1200,不良,2勝クラス,360.0
270,ダート,1200,全,3勝クラス,1050.0
271,ダート,1200,良,3勝クラス,1296.7
272,ダート,1200,稍重,3勝クラス,220.0
273,ダート,1200,重,3勝クラス,400.0
274,ダート,1200,不良,3勝クラス,
275,ダート,1200,全,オープン,4598.0
276,ダート,1200,良,オープン,7120.0
277,ダート,1200,稍重,オープン,815.0
278,ダート,1200,重,オープン,
279,ダート,1200,不良,オープン,
280,ダート,1800,全,all,1003.8
281,ダート,1800,良,all,1034.1
282,ダート,1800,稍重,all,889.5
283,ダート,1800,重,all,965.0
284,ダート,1800,不良,all,1476.7
285,ダート,1800,全,未勝利,897.5
286,ダート,1800,良,未勝利,696.8
287,ダート,1800,稍重,未勝利,1061.7
288,ダート,1800,重,未勝利,874.4
289,ダート,1800,不良,未勝利,1476.7
290,ダート,1800,全,新馬,2650.9
291,ダート,1800,良,新馬,2753.0
292,ダート,1800,稍重,新馬,1630.0
293,ダート,1800,重,新馬,
294,ダート,1800,不良,新馬,
295,ダート,1800,全,1勝クラス,978.5
296,ダート,1800,良,1勝クラス,1029.5
297,ダート,1800,稍重,1勝クラス,770.8
298,ダート,1800,重,1勝クラス,2660.0
299,ダート,1800,不良,1勝クラス,
300,ダート,1800,全,2勝クラス,624.4
301,ダート,1800,良,2勝クラス,660.8
302,ダート,1800,稍重,2勝クラス,573.3
303,ダート,1800,重,2勝クラス,340.0
304,ダート,1800,不良,2勝クラス,
305,ダート,1800,全,3勝クラス,745.6
306,ダート,1800,良,3勝クラス,710.0
307,ダート,1800,稍重,3勝クラス,983.3
308,ダート,1800,重,3勝クラス,210.0
309,ダート,1800,不良,3勝クラス,
310,ダート,1800,全,オープン,660.0
311,ダート,1800,良,オープン,490.0
312,ダート,1800,稍重,オープン,346.7
313,ダート,1800,重,オープン,1215.0
314,ダート,1800,不良,オープン,
315,ダート,2400,全,all,723.3
316,ダート,2400,良,all,454.0
317,ダート,2400,稍重,all,1070.0
318,ダート,2400,重,all,240.0
319,ダート,2400,不良,all,1465.0
320,ダート,2400,全,未勝利,
321,ダート,2400,良,未勝利,
322,ダート,2400,稍重,未勝利,
323,ダート,2400,重,未勝利,
324,ダート,2400,不良,未勝利,
325,ダート,2400,全,新馬,
326,ダート,2400,良,新馬,
327,ダート,2400,稍重,新馬,
328,ダート,2400,重,新馬,
329,ダート,2400,不良,新馬,
330,ダート,2400,全,1勝クラス,1010.0
331,ダート,2400,良,1勝クラス,595.0
332,ダート,2400,稍重,1勝クラス,
333,ダート,2400,重,1勝クラス,240.0
334,ダート,2400,不良,1勝クラス,2610.0
335,ダート,2400,全,2勝クラス,494.0
336,ダート,2400,良,2勝クラス,360.0
337,ダート,2400,稍重,2勝クラス,1070.0
