,0,1,2,3
202101010405,三連単,16→6→4,55230,168
202101010406,単勝,5,280,2
202101010406,複勝,5,160,2
202101010406,複勝,7,190,3
202101010406,複勝,11,310,5
202101010406,枠連,5-6,550,3
202101010406,馬連,5-7,920,3
202101010406,ワイド,5-7,340,3
202101010406,ワイド,5-11,650,6
202101010406,ワイド,7-11,720,9
202101010406,馬単,5→7,1300,4
202101010406,三連複,5-7-11,2540,8
202101010406,三連単,5→7→11,8150,20
202101010407,単勝,9,230,1
202101010407,複勝,9,140,1
202101010407,複勝,4,390,6
202101010407,複勝,3,670,9
202101010407,枠連,4-7,1540,6
202101010407,馬連,4-9,1690,6
202101010407,ワイド,4-9,670,7
202101010407,ワイド,3-9,1190,13
202101010407,ワイド,3-4,4660,42
202101010407,馬単,9→4,2360,7
202101010407,三連複,3-4-9,13810,46
202101010407,三連単,9→4→3,44330,147
202101010408,単勝,11,210,1
202101010408,複勝,11,130,1
202101010408,複勝,8,1130,11
202101010408,複勝,4,180,3
202101010408,枠連,6-8,2880,11
202101010408,馬連,8-11,5720,19
202101010408,ワイド,8-11,1920,20
202101010408,ワイド,4-11,340,3
202101010408,ワイド,4-8,4650,41
202101010408,馬単,11→8,7470,28
202101010408,三連複,4-8-11,9690,36
202101010408,三連単,11→8→4,39400,139
202101010409,単勝,13,410,2
202101010409,複勝,13,180,2
202101010409,複勝,8,250,4
202101010409,複勝,5,270,5
202101010409,枠連,5-8,1950,7
202101010409,馬連,8-13,2190,7
202101010409,ワイド,8-13,810,8
202101010409,ワイド,5-13,770,7
202101010409,ワイド,5-8,1200,15
202101010409,馬単,13→8,4260,15
202101010409,三連複,5-8-13,7220,21
202101010409,三連単,13→8→5,29350,82
202101010410,単勝,6,380,1
202101010410,複勝,6,190,2
202101010410,複勝,9,720,8
202101010410,複勝,10,800,9
202101010410,枠連,6-7,2350,11
202101010410,馬連,6-9,5840,22
202101010410,ワイド,6-9,2280,30
202101010410,ワイド,6-10,2440,32
202101010410,ワイド,9-10,5920,43
202101010410,馬単,6→9,7680,31
202101010410,三連複,6-9-10,43370,113
202101010410,三連単,6→9→10,181840,512
202101010411,単勝,10,480,2
202101010411,複勝,10,220,2
202101010411,複勝,8,440,7
202101010411,複勝,16,2430,14
202101010411,枠連,4-5,2410,13
202101010411,馬連,8-10,4140,19
202101010411,ワイド,8-10,1190,17
202101010411,ワイド,10-16,8220,54
202101010411,ワイド,8-16,13850,74
202101010411,馬単,10→8,6540,31
202101010411,三連複,8-10-16,114630,190
202101010411,三連単,10→8→16,425170,798
202101010412,単勝,2,240,1
202101010412,複勝,8,350,6
202101010412,枠連,2-6,4690,14
202101010412,馬連,2-6,4930,17
202101010412,ワイド,2-6,1650,18
202101010412,ワイド,2-8,650,7
202101010412,ワイド,6-8,4150,33
202101010412,馬単,2→6,6830,24
202101010412,三連複,2-6-8,13700,44
202101010412,三連単,2→6→8,55350,177
202101010501,複勝,1,110,2
202101010501,複勝,6,110,1
202101010501,複勝,2,150,4
202101010501,枠連,1-4,210,1
202101010501,馬連,1-6,190,1
202101010501,ワイド,1-6,120,1
202101010501,ワイド,1-2,350,5
202101010501,ワイド,2-6,230,2
202101010501,馬単,1→6,550,2
202101010501,三連複,1-2-6,500,1
202101010501,三連単,1→6→2,2370,4
202101010502,単勝,10,270,1
202101010502,複勝,10,130,1
202101010502,複勝,4,280,7
202101010502,複勝,6,170,3
202101010502,枠連,4-7,1850,10
202101010502,馬連,4-10,1780,7
202101010502,ワイド,4-10,600,7
202101010502,ワイド,6-10,380,1
202101010502,ワイド,4-6,1360,23
202101010502,馬単,10→4,2690,9
202101010502,三連複,4-6-10,4290,15
202101010502,三連単,10→4→6,19720,54
202101010503,単勝,10,430,3
202101010503,複勝,10,140,3
202101010503,複勝,8,180,4
202101010503,枠連,6-8,360,1
202101010503,馬連,6-10,420,1
202101010503,ワイド,6-10,230,2
202101010503,ワイド,8-10,440,6
202101010503,ワイド,6-8,290,3
202101010503,馬単,10→6,1070,3
202101010503,三連複,6-8-10,910,2
202101010503,三連単,10→6→8,3680,7
202101010504,単勝,12,1210,5
202101010504,複勝,12,350,5
202101010504,複勝,7,370,6
202101010504,複勝,6,200,3
202101010504,枠連,5-7,10110,20
202101010504,馬連,7-12,14840,27
202101010504,ワイド,7-12,3440,29
202101010504,ワイド,6-12,1110,11
202101010504,ワイド,6-7,1300,14
202101010504,馬単,12→7,22560,45
202101010504,三連複,6-7-12,18570,49
202101010504,三連単,12→7→6,170560,324
202101010505,単勝,6,440,2
202101010505,複勝,1,510,7
202101010505,複勝,2,230,5
202101010505,馬連,1-6,5690,18
202101010505,ワイド,1-6,1480,18
202101010505,ワイド,2-6,470,7
202101010505,ワイド,1-2,1450,16
202101010505,馬単,6→1,8320,28
202101010505,三連複,1-2-6,7110,25
202101010505,三連単,6→1→2,44900,142
202101010506,単勝,7,290,1
202101010506,複勝,7,130,3
202101010506,複勝,5,130,2
202101010506,複勝,4,130,1
202101010506,枠連,4-5,300,1
202101010506,馬連,5-7,510,1
202101010506,ワイド,5-7,220,1
202101010506,ワイド,4-7,230,2
202101010506,ワイド,4-5,260,3
202101010506,馬単,7→5,1110,2
202101010506,三連複,4-5-7,600,1
202101010506,三連単,7→5→4,2900,2
202101010507,単勝,8,1320,6
202101010507,複勝,8,360,7
202101010507,複勝,6,150,1
202101010507,複勝,4,180,4
202101010507,枠連,5-6,1070,4
202101010507,馬連,6-8,2050,6
202101010507,ワイド,6-8,860,12
202101010507,ワイド,4-8,1270,18
202101010507,ワイド,4-6,410,3
202101010507,馬単,8→6,4920,20
202101010507,三連複,4-6-8,3080,8
202101010507,三連単,8→6→4,26340,97
202101010508,単勝,7,780,4
202101010508,複勝,7,270,5
202101010508,複勝,2,160,1
202101010508,複勝,3,220,3
202101010508,枠連,2-5,2110,11
202101010508,馬連,2-7,2630,9
202101010508,ワイド,2-7,850,7
202101010508,ワイド,3-7,1460,21
202101010508,ワイド,2-3,690,4
202101010508,馬単,7→2,5970,22
202101010508,三連複,2-3-7,7070,18
202101010508,三連単,7→2→3,46840,143
202101010509,単勝,11,2820,9
202101010509,複勝,11,460,8
202101010509,複勝,4,110,1
202101010509,複勝,15,1320,12
202101010509,枠連,3-6,1850,8
202101010509,馬連,4-11,2170,7
202101010509,ワイド,4-11,940,8
202101010509,ワイド,11-15,14290,76
202101010509,ワイド,4-15,3320,34
202101010509,馬単,11→4,7200,18
202101010509,三連複,4-11-15,38640,105
202101010509,三連単,11→4→15,326160,651
202101010510,単勝,3,420,2
202101010510,複勝,3,210,4
202101010510,複勝,13,250,6
202101010510,複勝,10,240,5
202101010510,枠連,3-8,2050,9
202101010510,馬連,3-13,2270,12
202101010510,ワイド,3-13,890,13
202101010510,ワイド,3-10,580,6
202101010510,ワイド,10-13,1260,15
202101010510,馬単,3→13,4170,22
202101010510,三連複,3-10-13,4140,13
202101010510,三連単,3→13→10,23230,76
202101010511,単勝,13,2040,9
202101010511,複勝,13,710,10
202101010511,複勝,7,350,6
202101010511,複勝,1,390,7
202101010511,枠連,5-8,3720,20
202101010511,馬連,7-13,12700,49
202101010511,ワイド,7-13,3900,50
202101010511,ワイド,1-13,4220,54
202101010511,ワイド,1-7,2120,27
202101010511,馬単,13→7,27360,103
202101010511,三連複,1-7-13,48440,169
202101010511,三連単,13→7→1,323580,1042
202101010512,単勝,11,390,1
202101010512,複勝,11,170,1
202101010512,複勝,8,190,5
202101010512,複勝,1,190,3
202101010512,枠連,6-8,620,1
202101010512,馬連,8-11,1550,5
202101010512,ワイド,8-11,530,3
202101010512,ワイド,1-11,590,5
202101010512,ワイド,1-8,900,15
202101010512,馬単,11→8,2680,6
202101010512,三連複,1-8-11,3350,10
202101010512,三連単,11→8→1,14340,25
202101010601,単勝,9,510,3
202101010601,複勝,9,170,3
202101010601,複勝,11,150,1
202101010601,複勝,13,450,6
202101010601,枠連,5-6,410,1
202101010601,馬連,9-11,950,2
202101010601,ワイド,9-11,450,3
202101010601,ワイド,9-13,1500,17
202101010601,ワイド,11-13,1770,21
202101010601,馬単,9→11,1990,6
202101010601,三連複,9-11-13,6790,17
202101010601,三連単,9→11→13,31900,70
202101010602,単勝,11,320,2
202101010602,複勝,11,130,2
202101010602,複勝,8,110,1
202101010602,複勝,6,150,4
202101010602,枠連,7-8,360,2
202101010602,馬連,8-11,440,1
202101010602,ワイド,8-11,190,1
202101010602,ワイド,6-11,390,5
202101010602,ワイド,6-8,230,2
202101010602,馬単,11→8,880,3
202101010602,三連複,6-8-11,820,1
202101010602,三連単,11→8→6,3650,6
202101010603,単勝,10,2250,8
202101010603,複勝,10,500,8
202101010603,複勝,9,380,6
202101010603,複勝,1,150,1
202101010603,枠連,7-7,12290,23
202101010603,馬連,9-10,15290,37
202101010603,ワイド,9-10,4200,40
202101010603,ワイド,1-10,1300,17
202101010603,ワイド,1-9,1020,9
202101010603,馬単,10→9,27790,67
202101010603,三連複,1-9-10,15810,56
202101010603,三連単,10→9→1,164360,462
202101010604,単勝,6,680,3
202101010604,複勝,10,110,1
202101010604,複勝,8,320,6
202101010604,枠連,4-6,490,2
202101010604,馬連,6-10,650,1
202101010604,ワイド,6-10,250,1
