,race_type,course_len,ground_state,class,avg_time
155,芝,2600,全,1勝クラス,161114
156,芝,2600,良,1勝クラス,160480
157,芝,2600,稍重,1勝クラス,162700
158,芝,2600,重,1勝クラス,
159,芝,2600,不,1勝クラス,
160,芝,2600,全,2勝クラス,159733
161,芝,2600,良,2勝クラス,158650
162,芝,2600,稍重,2勝クラス,161900
163,芝,2600,重,2勝クラス,
164,芝,2600,不,2勝クラス,
165,芝,2600,全,3勝クラス,
166,芝,2600,良,3勝クラス,
167,芝,2600,稍重,3勝クラス,
168,芝,2600,重,3勝クラス,
169,芝,2600,不,3勝クラス,
170,芝,2600,全,オープン,
171,芝,2600,良,オープン,
172,芝,2600,稍重,オープン,
173,芝,2600,重,オープン,
174,芝,2600,不,オープン,
175,ダート,1000,全,all,58165
176,ダート,1000,良,all,58428
177,ダート,1000,稍重,all,58133
178,ダート,1000,重,all,57787
179,ダート,1000,不,all,57700
180,ダート,1000,全,未勝利,58376
181,ダート,1000,良,未勝利,58980
182,ダート,1000,稍重,未勝利,58033
183,ダート,1000,重,未勝利,58050
184,ダート,1000,不,未勝利,57700
185,ダート,1000,全,新馬,58700
186,ダート,1000,良,新馬,
187,ダート,1000,稍重,新馬,58700
188,ダート,1000,重,新馬,
189,ダート,1000,不,新馬,
190,ダート,1000,全,1勝クラス,58054
191,ダート,1000,良,1勝クラス,58500
192,ダート,1000,稍重,1勝クラス,58000
193,ダート,1000,重,1勝クラス,57525
194,ダート,1000,不,1勝クラス,
195,ダート,1000,全,2勝クラス,57800
196,ダート,1000,良,2勝クラス,57800
197,ダート,1000,稍重,2勝クラス,
198,ダート,1000,重,2勝クラス,
199,ダート,1000,不,2勝クラス,
200,ダート,1000,全,3勝クラス,57200
201,ダート,1000,良,3勝クラス,57200
202,ダート,1000,稍重,3勝クラス,
203,ダート,1000,重,3勝クラス,
204,ダート,1000,不,3勝クラス,
205,ダート,1000,全,オープン,
206,ダート,1000,良,オープン,
207,ダート,1000,稍重,オープン,
208,ダート,1000,重,オープン,
209,ダート,1000,不,オープン,
210,ダート,1700,全,all,105373
211,ダート,1700,良,all,106020
212,ダート,1700,稍重,all,105370
213,ダート,1700,重,all,104535
214,ダート,1700,不,all,103150
215,ダート,1700,全,未勝利,106404
216,ダート,1700,良,未勝利,107360
217,ダート,1700,稍重,未勝利,106100
218,ダート,1700,重,未勝利,105385
219,ダート,1700,不,未勝利,
220,ダート,1700,全,新馬,
221,ダート,1700,良,新馬,
222,ダート,1700,稍重,新馬,
223,ダート,1700,重,新馬,
224,ダート,1700,不,新馬,
225,ダート,1700,全,1勝クラス,105347
226,ダート,1700,良,1勝クラス,105954
227,ダート,1700,稍重,1勝クラス,105400
228,ダート,1700,重,1勝クラス,104420
229,ダート,1700,不,1勝クラス,103000
230,ダート,1700,全,2勝クラス,104209
231,ダート,1700,良,2勝クラス,105100
232,ダート,1700,稍重,2勝クラス,103366
233,ダート,1700,重,2勝クラス,104166
234,ダート,1700,不,2勝クラス,103300
235,ダート,1700,全,3勝クラス,103250
236,ダート,1700,良,3勝クラス,104100
237,ダート,1700,稍重,3勝クラス,
238,ダート,1700,重,3勝クラス,102400
239,ダート,1700,不,3勝クラス,
240,ダート,1700,全,オープン,103450
241,ダート,1700,良,オープン,103450
242,ダート,1700,稍重,オープン,
243,ダート,1700,重,オープン,
244,ダート,1700,不,オープン,
245,ダート,2400,全,all,153800
246,ダート,2400,良,all,155400
247,ダート,2400,稍重,all,152200
248,ダート,2400,重,all,
249,ダート,2400,不,all,
250,ダート,2400,全,未勝利,
251,ダート,2400,良,未勝利,
252,ダート,2400,稍重,未勝利,
253,ダート,2400,重,未勝利,
254,ダート,2400,不,未勝利,
255,ダート,2400,全,新馬,
256,ダート,2400,良,新馬,
257,ダート,2400,稍重,新馬,
258,ダート,2400,重,新馬,
259,ダート,2400,不,新馬,
260,ダート,2400,全,1勝クラス,153800
261,ダート,2400,良,1勝クラス,155400
262,ダート,2400,稍重,1勝クラス,152200
263,ダート,2400,重,1勝クラス,
264,ダート,2400,不,1勝クラス,
265,ダート,2400,全,2勝クラス,
266,ダート,2400,良,2勝クラス,
267,ダート,2400,稍重,2勝クラス,
268,ダート,2400,重,2勝クラス,
269,ダート,2400,不,2勝クラス,
270,ダート,2400,全,3勝クラス,
271,ダート,2400,良,3勝クラス,
272,ダート,2400,稍重,3勝クラス,
273,ダート,2400,重,3勝クラス,
274,ダート,2400,不,3勝クラス,
275,ダート,2400,全,オープン,
276,ダート,2400,良,オープン,
277,ダート,2400,稍重,オープン,
278,ダート,2400,重,オープン,
279,ダート,2400,不,オープン,
