,race_type,course_len,ground_state,class,馬体重
300,芝,3200,全,2勝クラス,
301,芝,3200,良,2勝クラス,
302,芝,3200,稍重,2勝クラス,
303,芝,3200,重,2勝クラス,
304,芝,3200,不良,2勝クラス,
305,芝,3200,全,3勝クラス,
306,芝,3200,良,3勝クラス,
307,芝,3200,稍重,3勝クラス,
308,芝,3200,重,3勝クラス,
309,芝,3200,不良,3勝クラス,
310,芝,3200,全,オープン,490.0
311,芝,3200,良,オープン,490.0
312,芝,3200,稍重,オープン,
313,芝,3200,重,オープン,
314,芝,3200,不良,オープン,
315,ダート,1200,全,all,483.4
316,ダート,1200,良,all,479.4
317,ダート,1200,稍重,all,473.5
318,ダート,1200,重,all,506.4
319,ダート,1200,不良,all,480.5
320,ダート,1200,全,未勝利,472.4
321,ダート,1200,良,未勝利,464.9
322,ダート,1200,稍重,未勝利,470.2
323,ダート,1200,重,未勝利,476.0
324,ダート,1200,不良,未勝利,528.0
325,ダート,1200,全,新馬,475.3
326,ダート,1200,良,新馬,
327,ダート,1200,稍重,新馬,470.0
328,ダート,1200,重,新馬,
329,ダート,1200,不良,新馬,486.0
330,ダート,1200,全,1勝クラス,476.8
331,ダート,1200,良,1勝クラス,476.6
332,ダート,1200,稍重,1勝クラス,466.5
333,ダート,1200,重,1勝クラス,521.0
334,ダート,1200,不良,1勝クラス,454.0
335,ダート,1200,全,2勝クラス,513.1
336,ダート,1200,良,2勝クラス,497.5
337,ダート,1200,稍重,2勝クラス,522.0
338,ダート,1200,重,2勝クラス,540.0
339,ダート,1200,不良,2勝クラス,
340,ダート,1200,全,3勝クラス,490.5
341,ダート,1200,良,3勝クラス,474.0
342,ダート,1200,稍重,3勝クラス,486.0
343,ダート,1200,重,3勝クラス,528.0
344,ダート,1200,不良,3勝クラス,
345,ダート,1200,全,オープン,518.7
346,ダート,1200,良,オープン,540.0
347,ダート,1200,稍重,オープン,
348,ダート,1200,重,オープン,508.0
349,ダート,1200,不良,オープン,
350,ダート,1400,全,all,476.1
351,ダート,1400,良,all,477.2
352,ダート,1400,稍重,all,470.7
353,ダート,1400,重,all,475.6
354,ダート,1400,不良,all,497.0
355,ダート,1400,全,未勝利,471.8
356,ダート,1400,良,未勝利,471.8
357,ダート,1400,稍重,未勝利,465.3
358,ダート,1400,重,未勝利,476.0
359,ダート,1400,不良,未勝利,487.0
360,ダート,1400,全,新馬,463.2
361,ダート,1400,良,新馬,508.0
362,ダート,1400,稍重,新馬,458.7
363,ダート,1400,重,新馬,432.0
364,ダート,1400,不良,新馬,
365,ダート,1400,全,1勝クラス,473.6
366,ダート,1400,良,1勝クラス,481.4
367,ダート,1400,稍重,1勝クラス,454.4
368,ダート,1400,重,1勝クラス,474.3
369,ダート,1400,不良,1勝クラス,510.0
370,ダート,1400,全,2勝クラス,470.2
371,ダート,1400,良,2勝クラス,464.0
372,ダート,1400,稍重,2勝クラス,496.0
373,ダート,1400,重,2勝クラス,471.5
374,ダート,1400,不良,2勝クラス,
375,ダート,1400,全,3勝クラス,490.8
376,ダート,1400,良,3勝クラス,480.0
377,ダート,1400,稍重,3勝クラス,490.0
378,ダート,1400,重,3勝クラス,
379,ダート,1400,不良,3勝クラス,504.0
380,ダート,1400,全,オープン,536.0
381,ダート,1400,良,オープン,528.0
382,ダート,1400,稍重,オープン,538.0
383,ダート,1400,重,オープン,542.0
384,ダート,1400,不良,オープン,
385,ダート,1800,全,all,485.0
386,ダート,1800,良,all,482.4
387,ダート,1800,稍重,all,483.9
388,ダート,1800,重,all,491.8
389,ダート,1800,不良,all,484.7
390,ダート,1800,全,未勝利,478.1
391,ダート,1800,良,未勝利,475.0
392,ダート,1800,稍重,未勝利,482.5
393,ダート,1800,重,未勝利,475.7
394,ダート,1800,不良,未勝利,485.0
395,ダート,1800,全,新馬,488.9
396,ダート,1800,良,新馬,483.0
397,ダート,1800,稍重,新馬,470.0
398,ダート,1800,重,新馬,521.0
399,ダート,1800,不良,新馬,474.0
400,ダート,1800,全,1勝クラス,486.9
401,ダート,1800,良,1勝クラス,478.6
402,ダート,1800,稍重,1勝クラス,493.1
403,ダート,1800,重,1勝クラス,499.7
404,ダート,1800,不良,1勝クラス,470.0
405,ダート,1800,全,2勝クラス,488.3
406,ダート,1800,良,2勝クラス,499.6
407,ダート,1800,稍重,2勝クラス,470.5
408,ダート,1800,重,2勝クラス,504.0
409,ダート,1800,不良,2勝クラス,488.0
410,ダート,1800,全,3勝クラス,506.0
411,ダート,1800,良,3勝クラス,517.0
412,ダート,1800,稍重,3勝クラス,518.0
413,ダート,1800,重,3勝クラス,489.0
414,ダート,1800,不良,3勝クラス,
415,ダート,1800,全,オープン,493.3
416,ダート,1800,良,オープン,500.0
417,ダート,1800,稍重,オープン,
418,ダート,1800,重,オープン,484.0
419,ダート,1800,不良,オープン,496.0
420,ダート,1900,全,all,489.8
421,ダート,1900,良,all,492.0
422,ダート,1900,稍重,all,480.3
423,ダート,1900,重,all,499.3
424,ダート,1900,不良,all,
425,ダート,1900,全,未勝利,493.3
426,ダート,1900,良,未勝利,494.5
427,ダート,1900,稍重,未勝利,480.0
428,ダート,1900,重,未勝利,502.0
429,ダート,1900,不良,未勝利,
430,ダート,1900,全,新馬,
431,ダート,1900,良,新馬,
432,ダート,1900,稍重,新馬,
433,ダート,1900,重,新馬,
434,ダート,1900,不良,新馬,
435,ダート,1900,全,1勝クラス,487.6
436,ダート,1900,良,1勝クラス,472.0
437,ダート,1900,稍重,1勝クラス,485.0
438,ダート,1900,重,1勝クラス,498.0
439,ダート,1900,不良,1勝クラス,
440,ダート,1900,全,2勝クラス,486.8
441,ダート,1900,良,2勝クラス,498.7
442,ダート,1900,稍重,2勝クラス,469.0
443,ダート,1900,重,2勝クラス,
444,ダート,1900,不良,2勝クラス,
445,ダート,1900,全,3勝クラス,491.0
446,ダート,1900,良,3勝クラス,490.0
447,ダート,1900,稍重,3勝クラス,494.0
448,ダート,1900,重,3勝クラス,
449,ダート,1900,不良,3勝クラス,
450,ダート,1900,全,オープン,490.0
451,ダート,1900,良,オープン,490.0
452,ダート,1900,稍重,オープン,
453,ダート,1900,重,オープン,
454,ダート,1900,不良,オープン,
