race_type,course_len,ground_state,class,体重帯,1着,2着,3着,着外
ダート,1200,重,3勝クラス,490,0,0,0,4
ダート,1200,重,3勝クラス,500,0,0,0,5
ダート,1200,重,3勝クラス,510,1,0,1,4
ダート,1200,重,3勝クラス,520,0,0,1,6
ダート,1200,重,3勝クラス,530,0,0,0,1
ダート,1200,重,3勝クラス,540,0,0,0,1
ダート,1200,重,all,380,0,0,0,1
ダート,1200,重,all,400,0,0,0,4
ダート,1200,重,all,410,1,0,1,13
ダート,1200,重,all,420,1,0,2,34
ダート,1200,重,all,430,1,3,7,36
ダート,1200,重,all,440,4,5,1,43
ダート,1200,重,all,450,2,5,0,53
ダート,1200,重,all,460,8,7,10,65
ダート,1200,重,all,470,7,6,8,64
ダート,1200,重,all,480,7,6,6,71
ダート,1200,重,all,490,2,5,6,42
ダート,1200,重,all,500,8,3,1,45
ダート,1200,重,all,510,4,6,2,29
ダート,1200,重,all,520,2,2,1,24
ダート,1200,重,all,530,0,0,1,7
ダート,1200,重,all,540,0,0,0,2
ダート,1200,重,all,550,0,0,0,2
ダート,1200,重,オープン,440,0,0,0,1
ダート,1200,重,オープン,460,0,1,0,2
ダート,1200,重,オープン,470,1,0,0,3
ダート,1200,重,オープン,480,1,0,1,4
ダート,1200,重,オープン,490,0,0,0,6
ダート,1200,重,オープン,500,0,1,0,4
ダート,1200,重,オープン,510,0,0,1,2
ダート,1200,重,オープン,520,0,0,0,3
ダート,1200,重,新馬,400,0,0,0,2
ダート,1200,重,新馬,410,0,0,0,2
ダート,1200,重,新馬,420,0,0,0,3
ダート,1200,重,新馬,430,0,1,0,3
ダート,1200,重,新馬,440,0,0,0,2
ダート,1200,重,新馬,450,0,0,0,3
ダート,1200,重,新馬,460,0,0,1,1
ダート,1200,重,新馬,470,0,0,0,3
ダート,1200,重,新馬,480,0,0,0,2
ダート,1200,重,新馬,490,0,0,1,1
ダート,1200,重,新馬,500,2,0,0,1
ダート,1200,重,新馬,510,1,1,0,1
ダート,1200,重,新馬,520,0,1,0,1
ダート,1200,重,新馬,530,0,0,1,0
ダート,1200,重,新馬,540,0,0,0,1
ダート,1200,重,未勝利,380,0,0,0,1
ダート,1200,重,未勝利,400,0,0,0,2
ダート,1200,重,未勝利,410,1,0,0,9
ダート,1200,重,未勝利,420,1,0,1,26
ダート,1200,重,未勝利,430,1,1,4,23
ダート,1200,重,未勝利,440,1,5,1,25
ダート,1200,重,未勝利,450,0,3,0,32
ダート,1200,重,未勝利,460,3,4,3,19
ダート,1200,重,未勝利,470,4,2,4,17
ダート,1200,重,未勝利,480,3,1,3,16
ダート,1200,重,未勝利,490,0,1,0,8
ダート,1200,重,未勝利,500,2,1,0,7
ダート,1200,重,未勝利,510,0,0,0,7
ダート,1200,重,未勝利,520,1,0,0,3
ダート,1200,重,未勝利,530,0,0,0,2
ダート,1200,重,未勝利,550,0,0,0,1
ダート,1400,不良,1勝クラス,400,0,0,0,1
ダート,1400,不良,1勝クラス,420,0,0,1,1
ダート,1400,不良,1勝クラス,430,1,0,0,6
ダート,1400,不良,1勝クラス,440,3,1,1,5
ダート,1400,不良,1勝クラス,450,0,1,2,6
ダート,1400,不良,1勝クラス,460,1,0,1,9
ダート,1400,不良,1勝クラス,470,0,3,0,12
ダート,1400,不良,1勝クラス,480,1,1,0,8
ダート,1400,不良,1勝クラス,490,0,1,1,8
ダート,1400,不良,1勝クラス,500,1,0,1,8
ダート,1400,不良,1勝クラス,510,0,0,0,6
ダート,1400,不良,1勝クラス,520,0,0,0,1
ダート,1400,不良,1勝クラス,540,0,0,0,1
ダート,1400,不良,1勝クラス,550,0,0,0,1
ダート,1400,不良,2勝クラス,410,0,0,0,1
ダート,1400,不良,2勝クラス,450,1,0,0,1
ダート,1400,不良,2勝クラス,460,0,0,0,3
ダート,1400,不良,2勝クラス,470,0,0,0,1
ダート,1400,不良,2勝クラス,480,0,0,0,3
ダート,1400,不良,2勝クラス,490,0,0,0,2
ダート,1400,不良,2勝クラス,510,0,0,1,2
ダート,1400,不良,2勝クラス,530,0,1,0,0
ダート,1400,不良,3勝クラス,430,0,0,1,0
ダート,1400,不良,3勝クラス,440,0,0,0,2
ダート,1400,不良,3勝クラス,460,0,0,1,3
ダート,1400,不良,3勝クラス,470,0,1,0,6
ダート,1400,不良,3勝クラス,480,1,0,0,2
ダート,1400,不良,3勝クラス,490,0,0,0,4
ダート,1400,不良,3勝クラス,500,0,0,0,4
ダート,1400,不良,3勝クラス,510,1,1,0,0
ダート,1400,不良,3勝クラス,520,0,0,0,2
ダート,1400,不良,3勝クラス,530,0,0,0,1
ダート,1400,不良,3勝クラス,540,0,0,0,1
ダート,1400,不良,all,390,0,0,0,3
ダート,1400,不良,all,400,0,0,0,5
ダート,1400,不良,all,410,0,0,0,14
ダート,1400,不良,all,420,0,2,2,19
ダート,1400,不良,all,430,1,0,4,33
ダート,1400,不良,all,440,7,2,2,28
