race_type,course_len,ground_state,class,人気,1着,2着,3着,着外
ダート,1200,良,3勝クラス,3,3,6,2,10
ダート,1200,良,3勝クラス,4,3,0,0,18
ダート,1200,良,3勝クラス,5,2,1,2,16
ダート,1200,良,3勝クラス,6,1,0,3,17
ダート,1200,良,3勝クラス,7,0,1,1,19
ダート,1200,良,3勝クラス,8,0,0,1,20
ダート,1200,良,3勝クラス,9,1,1,0,19
ダート,1200,良,3勝クラス,10,0,0,3,18
ダート,1200,良,3勝クラス,11,0,1,1,19
ダート,1200,良,3勝クラス,12,0,0,1,18
ダート,1200,良,3勝クラス,13,0,0,0,18
ダート,1200,良,3勝クラス,14,1,0,0,16
ダート,1200,良,3勝クラス,15,0,0,1,16
ダート,1200,良,3勝クラス,16,0,0,0,16
ダート,1200,良,all,1,97,54,32,94
ダート,1200,良,all,2,59,37,36,144
ダート,1200,良,all,3,34,44,42,157
ダート,1200,良,all,4,24,40,32,180
ダート,1200,良,all,5,26,28,34,188
ダート,1200,良,all,6,16,18,18,225
ダート,1200,良,all,7,4,11,15,246
ダート,1200,良,all,8,5,18,13,237
ダート,1200,良,all,9,7,6,14,242
ダート,1200,良,all,10,2,6,9,250
ダート,1200,良,all,11,1,4,8,244
ダート,1200,良,all,12,1,3,7,229
ダート,1200,良,all,13,0,5,9,213
ダート,1200,良,all,14,1,2,3,201
ダート,1200,良,all,15,0,0,3,190
ダート,1200,良,all,16,0,1,1,161
ダート,1200,良,オープン,1,3,1,0,7
ダート,1200,良,オープン,2,2,1,1,7
ダート,1200,良,オープン,3,2,1,3,5
ダート,1200,良,オープン,4,2,2,4,3
ダート,1200,良,オープン,5,1,0,0,10
ダート,1200,良,オープン,6,1,1,1,8
ダート,1200,良,オープン,7,0,1,0,10
ダート,1200,良,オープン,8,0,2,0,9
ダート,1200,良,オープン,9,0,1,0,10
ダート,1200,良,オープン,10,0,0,0,11
ダート,1200,良,オープン,11,0,0,1,10
ダート,1200,良,オープン,12,0,1,0,10
ダート,1200,良,オープン,13,0,0,0,10
ダート,1200,良,オープン,14,0,0,0,10
ダート,1200,良,オープン,15,0,0,1,9
ダート,1200,良,オープン,16,0,0,0,9
ダート,1200,良,新馬,1,8,3,4,3
ダート,1200,良,新馬,2,4,3,3,8
ダート,1200,良,新馬,3,1,2,3,12
ダート,1200,良,新馬,4,1,2,3,12
ダート,1200,良,新馬,5,4,2,2,10
ダート,1200,良,新馬,6,0,3,0,15
ダート,1200,良,新馬,7,0,0,0,17
ダート,1200,良,新馬,8,0,0,1,17
ダート,1200,良,新馬,9,0,0,0,17
ダート,1200,良,新馬,10,0,1,0,16
ダート,1200,良,新馬,11,0,0,0,15
ダート,1200,良,新馬,12,0,0,0,11
ダート,1200,良,新馬,13,0,2,1,7
ダート,1200,良,新馬,14,0,0,0,8
ダート,1200,良,新馬,15,0,0,0,6
ダート,1200,良,新馬,16,0,0,0,4
ダート,1200,良,未勝利,1,37,29,13,30
ダート,1200,良,未勝利,2,28,11,18,52
ダート,1200,良,未勝利,3,11,18,21,59
ダート,1200,良,未勝利,4,11,15,11,71
ダート,1200,良,未勝利,5,12,13,12,71
ダート,1200,良,未勝利,6,3,4,10,92
ダート,1200,良,未勝利,7,2,3,4,100
ダート,1200,良,未勝利,8,1,8,3,96
ダート,1200,良,未勝利,9,3,2,7,94
ダート,1200,良,未勝利,10,0,2,3,100
ダート,1200,良,未勝利,11,0,1,1,97
ダート,1200,良,未勝利,12,1,1,2,91
ダート,1200,良,未勝利,13,0,1,2,86
ダート,1200,良,未勝利,14,0,1,1,81
ダート,1200,良,未勝利,15,0,0,1,77
ダート,1200,良,未勝利,16,0,0,0,69
ダート,1200,重,1勝クラス,1,3,1,4,4
ダート,1200,重,1勝クラス,2,1,5,1,5
ダート,1200,重,1勝クラス,3,5,1,2,4
ダート,1200,重,1勝クラス,4,0,1,2,9
ダート,1200,重,1勝クラス,5,1,1,1,9
ダート,1200,重,1勝クラス,6,2,1,0,9
ダート,1200,重,1勝クラス,7,0,0,1,11
ダート,1200,重,1勝クラス,8,0,0,0,12
ダート,1200,重,1勝クラス,9,0,0,0,12
ダート,1200,重,1勝クラス,10,0,1,0,11
ダート,1200,重,1勝クラス,11,0,0,0,10
ダート,1200,重,1勝クラス,12,0,1,1,7
ダート,1200,重,1勝クラス,13,0,0,0,7
ダート,1200,重,1勝クラス,14,0,0,0,6
ダート,1200,重,1勝クラス,15,0,0,0,6
ダート,1200,重,1勝クラス,16,0,0,0,5
ダート,1200,重,2勝クラス,1,0,1,1,6
ダート,1200,重,2勝クラス,2,2,0,1,5
ダート,1200,重,2勝クラス,3,1,4,0,3
ダート,1200,重,2勝クラス,4,0,0,2,6
ダート,1200,重,2勝クラス,5,0,1,1,6
ダート,1200,重,2勝クラス,6,3,0,0,5
ダート,1200,重,2勝クラス,7,1,1,1,5
ダート,1200,重,2勝クラス,8,1,0,1,6
ダート,1200,重,2勝クラス,9,0,1,0,7
ダート,1200,重,2勝クラス,10,0,0,0,8
ダート,1200,重,2勝クラス,11,0,0,1,7
ダート,1200,重,2勝クラス,12,0,0,0,8
ダート,1200,重,2勝クラス,13,0,0,0,8
ダート,1200,重,2勝クラス,14,0,0,0,7
ダート,1200,重,2勝クラス,15,0,0,0,7
ダート,1200,重,2勝クラス,16,0,0,0,7
ダート,1200,重,3勝クラス,1,1,0,1,3
ダート,1200,重,3勝クラス,2,2,0,2,1
ダート,1200,重,3勝クラス,3,1,0,0,4
ダート,1200,重,3勝クラス,4,0,1,0,4
ダート,1200,重,3勝クラス,5,1,0,0,4
ダート,1200,重,3勝クラス,6,0,1,1,3
ダート,1200,重,3勝クラス,7,0,0,0,5
ダート,1200,重,3勝クラス,8,0,1,0,4
ダート,1200,重,3勝クラス,9,0,0,0,5
ダート,1200,重,3勝クラス,10,0,1,1,3
ダート,1200,重,3勝クラス,11,0,1,0,4
ダート,1200,重,3勝クラス,12,0,0,0,3
ダート,1200,重,3勝クラス,13,0,0,0,4
ダート,1200,重,3勝クラス,14,0,0,0,4
ダート,1200,重,3勝クラス,15,0,0,0,4
ダート,1200,重,3勝クラス,16,0,0,0,3
ダート,1200,重,all,1,8,5,12,22
ダート,1200,重,all,2,10,11,7,19
ダート,1200,重,all,3,9,12,6,20
ダート,1200,重,all,4,3,3,6,34
ダート,1200,重,all,5,3,4,3,37
ダート,1200,重,all,6,7,2,2,36
ダート,1200,重,all,7,2,1,4,40
ダート,1200,重,all,8,3,1,1,42
ダート,1200,重,all,9,1,2,0,44
ダート,1200,重,all,10,0,4,2,41
ダート,1200,重,all,11,0,2,1,41
ダート,1200,重,all,12,1,1,1,36
ダート,1200,重,all,13,0,0,0,35
ダート,1200,重,all,14,0,0,1,32
ダート,1200,重,all,15,0,0,0,29
ダート,1200,重,all,16,0,0,0,27
ダート,1200,重,オープン,1,0,0,1,1
ダート,1200,重,オープン,2,0,0,0,2
ダート,1200,重,オープン,3,0,1,0,1
ダート,1200,重,オープン,4,0,0,0,2
ダート,1200,重,オープン,5,0,0,0,2
ダート,1200,重,オープン,6,1,0,1,0
ダート,1200,重,オープン,7,0,0,0,2
ダート,1200,重,オープン,8,0,0,0,2
ダート,1200,重,オープン,9,1,0,0,1
ダート,1200,重,オープン,10,0,0,0,2
ダート,1200,重,オープン,11,0,1,0,1
ダート,1200,重,オープン,12,0,0,0,2
ダート,1200,重,オープン,13,0,0,0,2
ダート,1200,重,オープン,14,0,0,0,2
ダート,1200,重,オープン,15,0,0,0,2
ダート,1200,重,オープン,16,0,0,0,1
ダート,1200,重,新馬,1,1,0,2,0
ダート,1200,重,新馬,2,2,0,1,0
ダート,1200,重,新馬,3,0,1,0,2
ダート,1200,重,新馬,4,0,0,0,3
ダート,1200,重,新馬,5,0,1,0,2
ダート,1200,重,新馬,6,0,0,0,3
ダート,1200,重,新馬,7,0,0,0,3
ダート,1200,重,新馬,8,0,0,0,3
ダート,1200,重,新馬,9,0,0,0,3
ダート,1200,重,新馬,10,0,1,0,2
ダート,1200,重,新馬,11,0,0,0,3
ダート,1200,重,新馬,12,0,0,0,2
ダート,1200,重,未勝利,1,3,3,3,8
ダート,1200,重,未勝利,2,3,6,2,6
ダート,1200,重,未勝利,3,2,5,4,6
ダート,1200,重,未勝利,4,3,1,2,10
ダート,1200,重,未勝利,5,1,1,1,14
ダート,1200,重,未勝利,6,1,0,0,16
ダート,1200,重,未勝利,7,1,0,2,14
ダート,1200,重,未勝利,8,2,0,0,15
ダート,1200,重,未勝利,9,0,1,0,16
ダート,1200,重,未勝利,10,0,1,1,15
ダート,1200,重,未勝利,11,0,0,0,16
ダート,1200,重,未勝利,12,1,0,0,14
ダート,1200,重,未勝利,13,0,0,0,14
ダート,1200,重,未勝利,14,0,0,1,13
ダート,1200,重,未勝利,15,0,0,0,10
ダート,1200,重,未勝利,16,0,0,0,11
ダート,1400,不良,1勝クラス,1,3,2,0,2
ダート,1400,不良,1勝クラス,2,1,0,1,5
ダート,1400,不良,1勝クラス,3,1,2,0,4
ダート,1400,不良,1勝クラス,4,0,0,2,5
ダート,1400,不良,1勝クラス,5,1,1,0,5
ダート,1400,不良,1勝クラス,6,0,1,1,5
ダート,1400,不良,1勝クラス,7,0,0,2,5
ダート,1400,不良,1勝クラス,8,0,1,1,5
ダート,1400,不良,1勝クラス,9,1,0,0,6
ダート,1400,不良,1勝クラス,10,0,0,0,7
ダート,1400,不良,1勝クラス,11,0,0,0,6
ダート,1400,不良,1勝クラス,12,0,0,0,5
ダート,1400,不良,1勝クラス,13,0,0,0,4
ダート,1400,不良,1勝クラス,14,0,0,0,3
ダート,1400,不良,1勝クラス,15,0,0,0,3
ダート,1400,不良,1勝クラス,16,0,0,0,3
ダート,1400,不良,2勝クラス,1,0,0,0,1
ダート,1400,不良,2勝クラス,2,0,0,0,1
